epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,93.9814,3.60858,5.93968,29.6568,0.01656,6.14021,0.73744,0.48,0.51036,0.29527,0.56891,0.4,0.4498,0.24599,4.00214,7.93328,43.864,0.04706,0,9.142e-05,9.142e-05,9.142e-05
28,96.7867,3.13766,5.21023,25.4972,0.01663,5.31978,0.75871,0.50368,0.54634,0.32788,0.70428,0.47651,0.51453,0.2767,3.81955,7.25903,43.4663,0.04548,0,9.109e-05,9.109e-05,9.109e-05
29,99.9877,3.19779,5.43511,25.3042,0.01641,4.55179,0.74492,0.4678,0.52306,0.3085,0.55246,0.48,0.49473,0.26146,3.78651,7.26224,42.6496,0.04419,0,9.076e-05,9.076e-05,9.076e-05
30,102.857,3.3371,5.38711,23.8553,0.0148,3.78164,0.76346,0.52,0.53745,0.31465,0.70308,0.48,0.48241,0.25666,3.79956,7.41774,40.0358,0.04494,0,9.043e-05,9.043e-05,9.043e-05
31,105.546,3.431,5.26297,25.9022,0.01553,6.16319,0.78117,0.5716,0.59611,0.32407,0.64785,0.48,0.43248,0.24914,4.07979,7.92413,34.4725,0.04835,0,9.01e-05,9.01e-05,9.01e-05
32,108.354,3.65148,5.45934,24.8916,0.01708,4.50241,0.72567,0.64,0.62352,0.30333,0.56342,0.4,0.37996,0.20786,4.29389,7.878,33.7512,0.05165,0,8.977e-05,8.977e-05,8.977e-05
33,111.135,3.35192,5.18057,24.2652,0.01492,5.01769,0.82563,0.56,0.64524,0.31486,0.64149,0.48,0.40577,0.22116,4.26563,8.22494,34.3591,0.05177,0,8.944e-05,8.944e-05,8.944e-05
34,113.906,3.54409,5.63738,26.0627,0.0201,5.39402,0.71169,0.6,0.61088,0.31998,0.60206,0.54508,0.43372,0.23517,4.42304,8.18182,33.992,0.05358,0,8.911e-05,8.911e-05,8.911e-05
35,116.615,3.25833,4.64241,22.7875,0.01633,4.77101,0.75217,0.56,0.61168,0.32758,0.56853,0.52,0.42317,0.23304,4.22123,8.04116,35.0536,0.05042,0,8.878e-05,8.878e-05,8.878e-05
36,119.415,3.32684,4.8549,22.7722,0.01659,5.02375,0.64122,0.64352,0.6213,0.33064,0.62173,0.56,0.4512,0.2385,4.71235,7.58847,27.2798,0.05822,0,8.845e-05,8.845e-05,8.845e-05
